DrugID	Drug_Target
CHEMBL364713	59340
CHEMBL364713	56923
CHEMBL364713	6754
CHEMBL364713	113
CHEMBL364713	64805
CHEMBL364713	338398
CHEMBL364713	3354
CHEMBL364713	9934
CHEMBL364713	4887
CHEMBL364713	2826
CHEMBL364713	5367
CHEMBL364713	2831
CHEMBL364713	1233
CHEMBL364713	8811
CHEMBL364713	51289
CHEMBL364713	53637
CHEMBL364713	57121
CHEMBL364713	50833
CHEMBL364713	283869
CHEMBL364713	2587
CHEMBL364713	1129
CHEMBL364713	3579
CHEMBL364713	3350
CHEMBL364713	2771
CHEMBL364713	196883
CHEMBL364713	112
CHEMBL364713	6363
CHEMBL364713	134
CHEMBL364713	27199
CHEMBL364713	8484
CHEMBL364713	53829
CHEMBL364713	54429
CHEMBL364713	1230
CHEMBL364713	6374
CHEMBL364713	2921
CHEMBL364713	3577
CHEMBL364713	115
CHEMBL364713	6755
CHEMBL364713	58191
CHEMBL364713	1234
CHEMBL364713	729230
CHEMBL364713	8601
CHEMBL364713	643
CHEMBL364713	2852
CHEMBL364713	6750
CHEMBL364713	114
CHEMBL364713	351
CHEMBL364713	84539
CHEMBL364713	150
CHEMBL364713	6751
CHEMBL364713	57007
CHEMBL364713	2847
CHEMBL364713	256933
CHEMBL364713	6366
CHEMBL364713	5473
CHEMBL364713	187
CHEMBL364713	50832
CHEMBL364713	50831
CHEMBL364713	1236
CHEMBL364713	8698
CHEMBL364713	718
CHEMBL364713	4852
CHEMBL364713	50835
CHEMBL364713	50837
CHEMBL364713	301
CHEMBL364713	50836
CHEMBL364713	4985
CHEMBL364713	50839
CHEMBL364713	6372
CHEMBL364713	4544
CHEMBL364713	5539
CHEMBL364713	727
CHEMBL364713	5173
CHEMBL364713	623
CHEMBL364713	1815
CHEMBL364713	50865
CHEMBL364713	2916
CHEMBL382301	552
CHEMBL382301	5021
CHEMBL393220	348
CHEMBL393220	6347
CHEMBL393220	1071
CHEMBL393220	5444
CHEMBL393220	5054
CHEMBL393220	338
CHEMBL393220	959
CHEMBL393220	7412
CHEMBL393220	335
CHEMBL393220	387
CHEMBL393220	10599
CHEMBL393220	1401
CHEMBL393220	4846
CHEMBL393220	1576
CHEMBL393220	4547
CHEMBL393220	3156
CHEMBL393220	3569
CHEMBL393220	3949
CHEMBL395429	5021
CHEMBL3989510	10280
CHEMBL3989510	4985
CHEMBL3989510	4986
CHEMBL3989510	4988
CHEMBL414804	6582
CHEMBL43064	1813
CHEMBL43064	3269
CHEMBL434200	3350
CHEMBL434200	153
CHEMBL444186	7153
CHEMBL444186	1807
CHEMBL444186	7155
CHEMBL44618	3776
CHEMBL44618	3757
CHEMBL44618	1571
CHEMBL457299	5429
CHEMBL457299	2053
CHEMBL457299	10020
CHEMBL457299	11315
CHEMBL457299	2582
CHEMBL457299	8224
CHEMBL457299	5105
CHEMBL457299	246243
CHEMBL457299	4144
CHEMBL457299	213
CHEMBL457299	805
CHEMBL457299	3074
CHEMBL457299	5209
CHEMBL457299	2224
CHEMBL457299	26330
CHEMBL457299	127
CHEMBL457299	847
CHEMBL457299	8192
CHEMBL457299	7372
CHEMBL457299	8424
CHEMBL457299	112817
CHEMBL457299	10606
CHEMBL457299	91875
CHEMBL462605	11255
CHEMBL464	1381
CHEMBL464	2312
CHEMBL464	3868
CHEMBL464982	2641
CHEMBL464982	9415
CHEMBL464982	5122
CHEMBL464982	338557
CHEMBL46917	1543
CHEMBL485253	152
CHEMBL485253	3357
CHEMBL485253	3358
CHEMBL485253	150
CHEMBL485253	3356
CHEMBL485253	3351
CHEMBL485253	3363
CHEMBL485253	3355
CHEMBL485253	3350
CHEMBL485253	3354
CHEMBL485253	3362
CHEMBL485253	3361
CHEMBL485253	55811
CHEMBL495	5732
CHEMBL495	551
CHEMBL495	2778
CHEMBL495	6578
CHEMBL495	5731
CHEMBL495	873
CHEMBL502135	231
CHEMBL502135	27294
CHEMBL502135	57016
CHEMBL504760	5539
CHEMBL504760	338398
CHEMBL504760	846
CHEMBL504760	1237
CHEMBL504760	5179
CHEMBL504760	259296
CHEMBL504760	3355
CHEMBL504760	53829
CHEMBL504760	2920
CHEMBL504760	1129
